solute,SMILES1,solvent,SMILES2,DeltaGsolv,type,eps,n,alpha,beta,gamma,phi**2,psi**2,beta**2,H,C,HC,CC,CC2,N,HN,HN2,CN,NC,NC2,NC3,O,HO,HO2,OC,CO2,ON,OO,F,Cl,Br,I,FC,ClC,BrC,IC,Si,OSi,P,HP,OP,S,HS,OS,SP,SS,TotalArea
n-octane,CCCCCCCC,2methylpyridine,CC1=CC=CC=N1,-4.73,abs,9.9533,1.4957,0.0,0.58,47.5,0.509796,0.0,0.3364,207.769,36.077,139.807,33.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,243.846
toluene,CC1=CC=CC=C1,2methylpyridine,CC1=CC=CC=N1,-5.06,abs,9.9533,1.4957,0.0,0.58,47.5,0.509796,0.0,0.3364,98.561,67.889,66.586,87.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,166.45
ethanol,CCO,2methylpyridine,CC1=CC=CC=N1,-5.01,abs,9.9533,1.4957,0.0,0.58,47.5,0.509796,0.0,0.3364,77.419,14.671,42.861,9.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.095,9.835,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,110.185
"1,4-dioxane",C1COCCO1,2methylpyridine,CC1=CC=CC=N1,-5.01,abs,9.9533,1.4957,0.0,0.58,47.5,0.509796,0.0,0.3364,97.289,20.715,65.452,12.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.312,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,146.316
2-butanone,CCC(=O)C,2methylpyridine,CC1=CC=CC=N1,-4.52,abs,9.9533,1.4957,0.0,0.58,47.5,0.509796,0.0,0.3364,96.603,29.05,65.096,24.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.451,0.0,0.0,14.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,148.104
2-methylpyridine,CC1=CC=CC=N1,2methylpyridine,CC1=CC=CC=N1,-5.71,abs,9.9533,1.4957,0.0,0.58,47.5,0.509796,0.0,0.3364,87.059,60.697,58.819,66.119,0.0,13.07,0.0,0.0,8.805,40.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,160.826
naphthalene,C1=CC=C2C=CC=CC2=C1,4methyl2pentanone,CC(C)CC(=O)C,-7.45,abs,12.8871,1.3962,0.0,0.51,33.83,0.0,0.0,0.2601,98.761,96.028,66.823,135.831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,194.789
phenol,C1=CC=C(C=C1)O,4methyl2pentanone,CC(C)CC(=O)C,-9.38,abs,12.8871,1.3962,0.0,0.51,33.83,0.0,0.0,0.2601,74.866,60.488,42.537,81.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.392,8.575,0.0,4.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,153.746
m-cresol,CC1=CC(=CC=C1)O,4methyl2pentanone,CC(C)CC(=O)C,-8.79,abs,12.8871,1.3962,0.0,0.51,33.83,0.0,0.0,0.2601,96.138,62.885,56.85,81.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.419,8.543,0.0,4.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,177.442
aceticacid,CC(=O)O,4methyl2pentanone,CC(C)CC(=O)C,-6.33,abs,12.8871,1.3962,0.0,0.51,33.83,0.0,0.0,0.2601,50.326,18.311,25.273,11.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.233,9.17,0.0,21.68,8.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,111.87
propanoicacid,CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl,4methyl2pentanone,CC(C)CC(=O)C,-6.85,abs,12.8871,1.3962,0.0,0.51,33.83,0.0,0.0,0.2601,74.142,20.699,41.287,15.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.789,9.179,0.0,20.114,7.933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,135.63
butanoicacid,C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO,4methyl2pentanone,CC(C)CC(=O)C,-7.44,abs,12.8871,1.3962,0.0,0.51,33.83,0.0,0.0,0.2601,96.172,23.176,56.103,18.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.743,9.17,0.0,20.084,7.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,160.091
trimethylamine,CN(C)C,4methyl2pentanone,CC(C)CC(=O)C,-2.86,abs,12.8871,1.3962,0.0,0.51,33.83,0.0,0.0,0.2601,104.469,25.444,70.245,0.0,0.0,5.935,0.0,0.0,10.682,87.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,135.848
diethylamine,CCNCC,4methyl2pentanone,CC(C)CC(=O)C,-3.63,abs,12.8871,1.3962,0.0,0.51,33.83,0.0,0.0,0.2601,124.959,25.41,76.627,15.564,0.0,7.528,7.802,0.0,3.569,60.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,157.896
pyridine,C1=CC=NC=C1,4methyl2pentanone,CC(C)CC(=O)C,-5.33,abs,12.8871,1.3962,0.0,0.51,33.83,0.0,0.0,0.2601,64.653,57.425,43.744,60.8,0.0,14.301,0.0,0.0,11.58,47.197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,136.379
aniline,C1=CC=C(C=C1)N,4methyl2pentanone,CC(C)CC(=O)C,-7.54,abs,12.8871,1.3962,0.0,0.51,33.83,0.0,0.0,0.2601,88.183,59.941,42.242,80.39,0.0,10.955,18.043,0.0,2.956,13.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,159.079
ammonia,N,4methyl2pentanone,CC(C)CC(=O)C,-2.52,abs,12.8871,1.3962,0.0,0.51,33.83,0.0,0.0,0.2601,44.788,0.0,0.0,0.0,0.0,17.444,31.315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,62.232
methylamine,CN,4methyl2pentanone,CC(C)CC(=O)C,-4.14,abs,12.8871,1.3962,0.0,0.51,33.83,0.0,0.0,0.2601,67.139,10.981,26.288,0.0,0.0,12.243,19.658,0.0,4.546,42.967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,90.362
4-methyl-2-pentanone,CC(C)CC(=O)C,4methyl2pentanone,CC(C)CC(=O)C,-5.23,abs,12.8871,1.3962,0.0,0.51,33.83,0.0,0.0,0.2601,136.054,34.177,91.612,27.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.712,0.0,0.0,13.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,190.943
n-octane,CCCCCCCC,aceticacid,CC(=O)O,-3.93,abs,6.2528,1.372,0.61,0.44,39.01,0.0,0.0,0.1936,207.769,36.077,139.807,33.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,243.846
toluene,CC1=CC=CC=C1,aceticacid,CC(=O)O,-4.53,abs,6.2528,1.372,0.61,0.44,39.01,0.0,0.0,0.1936,98.561,67.889,66.586,87.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,166.45
ethanol,CCO,aceticacid,CC(=O)O,-5.25,abs,6.2528,1.372,0.61,0.44,39.01,0.0,0.0,0.1936,77.419,14.671,42.861,9.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.095,9.835,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,110.185
"1,4-dioxane",C1COCCO1,aceticacid,CC(=O)O,-5.8,abs,6.2528,1.372,0.61,0.44,39.01,0.0,0.0,0.1936,97.289,20.715,65.452,12.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.312,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,146.316
2-butanone,CCC(=O)C,aceticacid,CC(=O)O,-4.8,abs,6.2528,1.372,0.61,0.44,39.01,0.0,0.0,0.1936,96.603,29.05,65.096,24.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.451,0.0,0.0,14.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,148.104
aceticacid,CC(=O)O,aceticacid,CC(=O)O,-5.3,abs,6.2528,1.372,0.61,0.44,39.01,0.0,0.0,0.1936,50.326,18.311,25.273,11.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.233,9.17,0.0,21.68,8.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,111.87
nitromethane,C[N+](=O)[O-],aceticacid,CC(=O)O,-4.88,abs,6.2528,1.372,0.61,0.44,39.01,0.0,0.0,0.1936,36.939,11.231,24.965,0.0,0.0,4.146,0.0,0.0,4.454,14.279,0.0,0.0,53.926,0.0,0.0,0.0,0.0,32.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,106.242
n-octane,CCCCCCCC,acetonitrile,CC#N,-3.57,abs,35.6881,1.3442,0.07,0.32,41.25,0.0,0.0,0.1024,207.769,36.077,139.807,33.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,243.846
toluene,CC1=CC=CC=C1,acetonitrile,CC#N,-4.68,abs,35.6881,1.3442,0.07,0.32,41.25,0.0,0.0,0.1024,98.561,67.889,66.586,87.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,166.45
ethanol,CCO,acetonitrile,CC#N,-4.43,abs,35.6881,1.3442,0.07,0.32,41.25,0.0,0.0,0.1024,77.419,14.671,42.861,9.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.095,9.835,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,110.185
"1,4-dioxane",C1COCCO1,acetonitrile,CC#N,-5.33,abs,35.6881,1.3442,0.07,0.32,41.25,0.0,0.0,0.1024,97.289,20.715,65.452,12.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.312,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,146.316
2-butanone,CCC(=O)C,acetonitrile,CC#N,-4.73,abs,35.6881,1.3442,0.07,0.32,41.25,0.0,0.0,0.1024,96.603,29.05,65.096,24.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.451,0.0,0.0,14.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,148.104
