Tag,Chromophore,Solvent,Absorption max (nm)
1,N#Cc1cc2ccc(O)cc2oc1=O,O,1.0296194171811581
2,N#Cc1cc2ccc([O-])cc2oc1=O,O,1.3762440252663892
3,CCCCCCCCCCCC#CC#CCCCCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCCCCCC#CC#CCCCCCCCCCCCC)C5=O,ClC(Cl)Cl,1.2809338454620642
4,[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CC#N,1.3376291891386096
5,[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CS(C)=O,1.547562508716013
6,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,C1CCCCC1,1.0296194171811581
7,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCOC(C)=O,1.1314021114911006
8,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CC#N,1.2237754316221157
9,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCO,1.1314021114911006
10,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,OCC(O)CO,1.33500106673234
11,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,C1CCCCC1,1.410986973710262
12,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCOC(C)=O,1.5260563034950492
13,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC#N,-0.5108256237659907
14,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCO,-0.16251892949777494
15,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,OCC(O)CO,0.9932517730102834
16,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,C1CCCCC1,0.9555114450274363
17,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CC#N,1.1939224684724343
18,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CCO,1.504077396776274
19,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,O,1.7749523509116738
20,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,C1CCCCC1,1.4586150226995167
21,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCOC(C)=O,1.6863989535702286
22,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CC#N,1.7227665977411033
